stop_code,stop_name
5769,Riverpark Crescent
5771,Riverpark Reserve
5773,Lincoln Garden Close
5775,5 Universal Drive
1560,Carwen Place
5412,Bahari Drive
1449,41 Patiki Road
8565,Patiki Road roundabout
8563,Timothy Place
8561,549 Rosebank Road
1459,495 Rosebank Road
8557,Fremlin Place
8555,399 Rosebank Road
8553,Rosebank Road/Copsey Place
1589,Honan Place
8549,Eastdale Reserve
8547,Rosebank Road/Riversdale Road
8545,Rosebank Road/Victor Street
8543,Aspen Street
1561,Avondale Rest Home & Hospital
1441,Avondale Shops
8146,Stop B Avondale
1862,St Jude Street
8148,St Mary's School
5814,Portage Road
1559,Lynnmall - The Brickworks
5906,Stop A New Lynn
1546,Lynnmall - The Brickworks
5779,Portage Road
8151,St Mary's School
1869,St Jude Street
8149,Stop A Avondale
8536,Avondale Shops
1594,Avondale Rest Home & Hospital
8540,Rosebank Road/Victor Street
8542,Rosebank Road/Riversdale Road
8544,Eastdale Reserve
8546,Honan Place
8548,Rosebank Road/Copsey Place
8550,Fremlin Place
8552,460 Rosebank Road
8554,550 Rosebank Road
8556,Timothy Place
8558,Patiki Road roundabout
8560,62 Patiki Road
5794,Holy Cross Church
5796,Jelicich Court
5298,View Road Shops
1674,Wattle Road
5304,Waari Avenue
5276,Awaroa Road
5311,129 Sunnyside Road
5309,McKinley Road
1676,Sunnyside Road
1630,Sunnyvale Station
1678,Styca Place Walkway
5468,478 West Coast Road
1663,Nicolas Avenue
5049,Maywood Crescent
5047,Autumn Avenue
5045,155 Glengarry Road
5043,Glengarry Shops
5037,125 Rosier Road
5035,Pisces Road
5983,Prospect School
5033,Claridge Street
5925,Rosier shops
5408,Swan Hill Drive
5429,Glen Eden Station
5427,West Coast Road/Janet Clews Place
5425,Pleasant Road
5423,Clayburn Road
5421,Kelston Shopping Centre
5450,Kelston Shopping Centre
5452,Clayburn Road
5454,West Coast Road/Janet Clews Place
5458,Glen Eden Station
5477,Swan Hill Drive
5026,Rosier shops
5028,Claridge Street
5030,Prospect School
5032,Pisces Road
5034,116 Rosier Road
5040,Glengarry Shops
5042,160 Glengarry Road
5044,Autumn Avenue
5046,Maywood Crescent
1680,Nicolas Avenue
5053,Parrs Park
1661,Styca Place walkway
1632,Sunnyvale Station
1659,Sunnyside Road
5308,McKinley Road
5310,114 Sunnyside Road
5259,Awaroa Road
5303,Waari Avenue
1657,Wattle Road
5295,View Road Shops
5781,Jelicich Court
5799,Holy Cross Church
5848,126 Railside Avenue
5936,11 Bruce McLaren Road
5524,Silverstone Place
5522,Parma Place
5520,Bruce Mclaren Road/Farwood Drive
5518,Applewood Drive
5516,Starforth Place
5048,Oratia Stream
5439,Parrs Park
5437,Hoani Waititi Marae
5435,Woodbank Drive
5060,Brunner Road
1684,Seakens Way
5058,Milan Drive walkway
5041,Rosier Road
5039,Woodglen Road
5054,Surat Place
5052,Nandana Drive
5050,Tagor Street
5031,Kowhai Reserve
5029,Kaurilands Road
5293,Glengarry Road
5291,Glen Eden Baptist Church
5921,Levy Road
5289,Woodvale Road
5287,Glen Eden Library
5288,Glen Eden Library
5290,Woodvale Road
5938,Levy Road
5292,Glen Eden Baptist Church
5296,Glengarry Road
5294,Ceramco Park
5022,Kaurilands Road
5024,Kowhai Reserve
5057,Tagor Street
5059,Nandana Drive
5475,Surat Place
5036,Woodglen Road
5065,Sunvue Road
1667,Sunvue Park
5067,Brunner Road
5069,Sunvue Road/West Coast Road
5464,Woodbank Drive
5466,Hoani Waititi Marae
5055,Oratia Stream
5497,Starforth Place
5499,Bruce Mclaren Road/Farwood Drive
5501,Parma Place
5503,Silverstone Place
5505,Bruce McLaren Intermediate
5507,11 Bruce McLaren Road
5831,126 Railside Avenue
5271,Brains Park
5265,Ingleby Place
5263,Cobham Reserve
5261,Kiernan Place
5279,Brains Park
5285,Beaubank Road
1689,Archibald Road/Kelston Boys' High School
5273,Kelwyn Road
5272,Rimu Street
1687,Nikau Street/Lynwood Road
1685,Kuaka Place
5251,25 Nikau Street
5249,5 Nikau Street
5910,Stop C New Lynn
5264,22 Nikau Street
1578,Miro Street
1576,Manuka Park
1574,Nikau Street/Lynwood Road
5253,Rimu Street
5278,Kelwyn Road
1552,Archibald Road/Kelston Boys' High School
5286,Beaubank Road
5526,Tirimoana Road
5528,Cron Reserve
5511,Crystal Avenue
5513,Barrys Road
5515,Glendene School
5519,Barrys Road/Hepburn Road
5521,Delegat's Wine Estate
5523,Akatea Road
5525,Harmel Road
1693,Phelps Place
5546,Rosewarne Crescent
5548,Blythe Place
5550,Sabulite Road
5281,St Leonards Road School
5283,Kelston Boys' High School
1613,Kelston School
1572,Kelston School
5282,Kelston Boys' High School
5284,St Leonards Road School
5533,Sabulite Road
5531,Blythe Place
5529,Harmel Road
5527,Rosewarne Crescent
5542,Phelps Place
5540,Harmel Road
5942,142 Hepburn Road
5538,Delegat's Wine Estate
5536,Barry Reserve
5534,Glendene School
5532,Glendene Avenue
5530,Crystal Avenue
5509,Cron Reserve
5143,Arama Avenue
5145,735 South Titirangi Road
5147,Herrings Cove Place
5149,McEldowney Road
5151,Grendon Road
5153,615 South Titirangi Road
5155,569 South Titirangi Road
5157,Titirangi Fire Station
5221,Titirangi Village
5217,Godley Road
5215,Highland Avenue
5213,Golf Road
5207,Pleasant Road
5203,Croydon Road
5201,Titirangi Road/Willerton Avenue
5199,Titirangi Road/Gardner Avenue
5146,New Lynn Samoan Church
1643,West Edge
1642,West Edge
5135,New Lynn Samoan Church
5212,Titirangi Road/Gardner Avenue
5214,Titirangi Road/Willerton Avenue
5216,Parker Avenue
5220,Old Titirangi Road
5222,Pleasant Road
5228,Titirangi Road/Golf Road
5230,Highland Avenue
5232,330 Titirangi Road
5234,Godley Road
5236,Titirangi Village
5168,522 South Titirangi Road
5166,554 South Titirangi Road
5164,630 South Titirangi Road
5162,Grendon Road
5160,Woontons Lane
5158,McEldowney Road
5156,716 South Titirangi Road
5154,764 South Titirangi Road
5977,Soldiers Memorial Church
5141,Park Road
5970,36 Otitori Bay Road
5122,Tanekaha Road
5887,Wood Bay Road
5139,5 Otitori Bay Road
5150,St Francis Parish
5514,170 Laingholm Drive
5512,Janet Place
5510,Dorothy Road
5508,Warner Park
5602,Laingholm Beach
5483,Kauri Point Road
5517,Warner Park Avenue
5481,Laingholm School
5479,Karen Road
5485,Victory Road
5893,Exhibition Drive
5487,377 Huia Road
5489,Woodlands Park roundabout
5915,197 Woodlands Park Road
5491,Waima Reserve
5493,Waima Crescent
5495,Manuka Road
1616,Manuka Road
5898,Waima Crescent
5946,Waima Reserve
5926,200 Woodlands Park Road
5996,Woodlands Park roundabout
5976,Landing Road
5006,Evans Road
5004,Savoy Road
5002,Routley Drive
5000,Terra Nova Street
5008,Scotstoun Place
5014,Kaurilands Domain
5012,Kaurilands School
5010,Daffodil Street
5017,Daffodil Street
5019,Woodfern Crescent
5473,Kaurilands Shops
5021,Kaurilands Domain
5015,Scotstoun Place
5001,Terra Nova Street
5009,Routley Drive
5011,Savoy Road
5897,Glen Eden Shops
8147,Avondale Police Station
8145,Great North Road/Victor Street
8143,Great North Road/Roberton Road
8141,Fairlands Avenue
8139,Waterview Methodist Church
8137,Alford Street
8133,Herdman Street
7065,Scotia Place
1004,Stop C Lower Albert
1378,Hobson Street
8132,Herdman Street
8134,Alford Street
8136,Waterview Methodist Church
8138,Fairlands Avenue
8140,Great North Road/Roberton Road
8142,Avondale Family Health Centre
8144,Avondale Police Station
5916,Denyer Place
5918,Seabrook Avenue/Gardner Avenue
5190,Seabrook Avenue/Willerton Avenue
5188,Ryehill Close
5186,Parker Avenue
5174,West Lynn Garden
5172,The Grove
5170,South Lynn/Golf Road
5323,Golf Road Shops
5229,Gilliam Street
5231,Lantana Road
5919,Taupo Street
5187,Lawsons Corner
5189,Blease Street
5191,Hinau Street
5193,Mayville Avenue
5195,Glenburn Rest Home & Hospital
5909,Glenburn Retirement Village
7123,Lynfield Shops
8678,Oriana Avenue
8680,Halsey Drive
8682,Manukau Domain
8684,Himalaya Crescent
8686,Iberia Place
8688,Commodore Drive
1749,Murray Halberg Retirement Village
8908,Lynfield College
8907,Lynbrooke Avenue
8905,Francis Curtis Avenue
8903,Lewis Street
7029,Stop E Blockhouse Bay
8353,Stop C Blockhouse Bay
8351,Rathlin Street
1722,Blockhouse Bay Beach Reserve
8287,Maui Pomare Street
1787,Margate Road
1785,Whitney Street/Tiverton Road
7651,New Windsor Road
1789,Bollard Avenue/Methuen Road
1730,Waitati Place
8242,Soljak Place
8331,Avondale Islamic Centre
8534,Rosebank Road/Roberton Road
1456,Stop D Avondale
8520,Riversdale Road corner
8468,Riversdale Reserve
8476,Maple Street corner
1662,Coronet Place
1660,36 Maple Street
1637,Maire Street
8579,Oregon Avenue
1639,Rosebank Shops
1732,Avondale Racecourse
7002,121 Ash Street
1783,Riverbank Road
1652,Riverbank Road
7007,121 Ash Street
5963,Avondale Racecourse
8539,Stop C Avondale
8537,Rosebank Road/Roberton Road
8334,Avondale Islamic Centre
8243,Soljak Place
1044,Avondale Motor Park
1654,Bollard Avenue/Methuen Road
8022,New Windsor Road
1724,Whitney Street/Tiverton Road
1726,Mulgan Street
8288,Maui Pomare Street
8290,Terry Street
1769,Blockhouse Bay Beach Reserve
8354,Rathlin Street
8356,Stop D Blockhouse Bay
8900,Iona Presbyterian Church
8902,Lewis Street
8904,Francis Curtis Avenue
8906,Lynbrooke Avenue
8909,Lynfield College
1748,Murray Halberg Retirement Village
8691,Iberia Place
8689,Himalaya Crescent
8687,Manukau Domain
8685,Halsey Drive
8683,Oriana Avenue
5184,New Lynn School
5182,Islington Avenue
5180,Hutchinson Avenue/Gardner Avenue
5178,Hutchinson Ave/Willerton Ave
1648,Stottholm Road
1650,Dolbear Street
5127,Rahui Kahika Reserve
1635,Avonleigh Road corner
5131,Pinesong Retirement Village
5133,Vinceroy Place
5227,La Rosa Street
5269,Green Bay Shops
5211,Bishop Street
5209,Harrybrook Road
