source,target,route_id
7999,1075,65-202
8766,8000,65-202
7821,8098,65-202
8098,1607,65-202
1607,1474,65-202
1474,8002,65-202
8099,8014,65-202
8014,7455,65-202
8014,1469,66-203
8014,1089,OUT-202
7455,8004,65-202
8016,7453,65-202
8016,7627,66-203
8016,8018,OUT-202
7453,8006,65-202
8018,7451,65-202
8018,8692,66-203
8018,1094,OUT-202
7451,8010,65-202
7449,8131,65-202
7447,8129,65-202
7445,8127,65-202
7443,8125,65-202
1846,7441,65-202
7441,8863,65-202
7439,8044,65-202
7437,8046,65-202
7435,8048,65-202
8048,7433,65-202
7433,8050,65-202
7433,1880,782-221
8050,7431,65-202
7431,7429,65-202
7429,8052,65-202
8052,7427,65-202
7427,8054,65-202
8054,8056,65-202
8056,7425,65-202
7425,8038,65-202
8038,7423,65-202
7423,8060,65-202
8060,7421,65-202
7421,8062,65-202
8062,8073,65-202
8073,8071,65-202
8071,8064,65-202
1718,8069,65-202
1765,8063,65-202
8063,8072,65-202
8072,8061,65-202
8061,8074,65-202
8074,8059,65-202
8059,7422,65-202
7422,7424,65-202
7424,8039,65-202
8039,8055,65-202
8055,7426,65-202
7426,8053,65-202
8053,7428,65-202
7428,8051,65-202
8051,7430,65-202
7430,7432,65-202
7432,8049,65-202
8049,8047,65-202
8047,7434,65-202
7434,7436,65-202
7436,7999,65-202
1075,7438,65-202
7438,1881,65-202
7440,7442,65-202
7442,8868,65-202
1845,7444,65-202
7444,7446,65-202
7446,8122,65-202
7448,8124,65-202
7450,8126,65-202
7452,8799,65-202
8799,8130,65-202
8019,8017,66-203
8019,1332,OUT-202
8017,8015,65-202
8017,7997,66-203
8017,1090,OUT-202
8015,8011,65-202
8015,1855,66-203
8015,1049,OUT-202
8024,8007,65-202
8763,8005,65-202
8080,8003,65-202
7238,7244,782-221
7810,8002,66-203
7810,7863,782-221
7303,8006,66-203
7303,1865,782-221
1865,8977,66-203
1865,7861,782-221
8977,8008,66-203
1701,8010,66-203
1469,1861,66-203
8692,8028,66-203
8028,1892,66-203
8028,8030,OUT-202
1892,8030,66-203
8030,8882,66-203
8030,7023,OUT-202
8882,8174,66-203
8882,1096,OUT-202
8174,8267,66-203
8267,8032,66-203
8032,8385,66-203
8032,7188,OUT-202
8034,8812,66-203
8034,8221,OUT-202
8812,8383,66-203
8814,1829,66-203
1829,1831,66-203
8816,1833,66-203
8818,8853,66-203
8820,8851,66-203
8826,1873,66-203
8828,8845,66-203
8845,8830,66-203
8830,1868,66-203
1868,8843,66-203
8843,8841,66-203
8841,8832,66-203
8832,8834,66-203
8834,8839,66-203
8839,8836,66-203
8836,1883,66-203
1883,8838,66-203
8838,8837,66-203
8837,8835,66-203
8835,8840,66-203
8840,8833,66-203
8842,8844,66-203
8827,8825,66-203
8825,8850,66-203
8823,8852,66-203
8821,1834,66-203
8819,8035,66-203
8035,1832,66-203
8035,7187,OUT-202
1832,8033,66-203
8033,8382,66-203
8033,7185,OUT-202
8879,8384,66-203
8879,8031,OUT-202
8268,8031,66-203
8031,8029,66-203
8031,1031,OUT-202
8029,8179,66-203
8029,7089,OUT-202
8179,8177,66-203
8177,8019,66-203
7997,8015,66-203
1855,8011,66-203
1022,8007,66-203
7688,8003,66-203
7698,8001,66-203
7698,7856,782-221
7811,7245,782-221
8802,1333,67A-202
1848,1603,67A-202
8804,8806,67A-202
8806,7995,67A-202
7995,8269,67A-202
8269,8169,67A-202
8169,8265,67A-202
8167,1367,67A-202
1367,8165,67A-202
8165,8596,67A-202
8161,8594,67A-202
8598,1025,67A-202
1025,1365,67A-202
1365,1405,67A-202
8587,8965,67A-202
8965,8967,67A-202
8967,8736,67A-202
8969,8738,67A-202
1042,1532,67A-202
1532,7699,67A-202
1763,1033,67A-202
1033,8479,67A-202
8960,7795,67A-202
8958,8990,67A-202
8990,8599,67A-202
1392,8156,67A-202
8156,1369,67A-202
1369,8499,67A-202
8158,7285,67A-202
8160,1394,67A-202
1394,8162,67A-202
8162,8266,67A-202
8164,8270,67A-202
8270,1878,67A-202
1878,8807,67A-202
8807,8858,67A-202
8805,7630,67A-202
8857,1354,67A-202
8801,7632,67A-202
1420,7140,72X-205
7505,7573,782-221
7523,2435,72X-205
7144,6053,72X-205
7521,6290,72X-205
7152,7154,72X-205
7519,7517,72X-205
7517,6250,72X-205
1028,4021,966-203
7515,7513,72X-205
7515,7581,782-221
7513,6254,72X-205
7513,7579,782-221
7511,6200,72X-205
7511,7509,782-221
7509,7575,782-221
7504,7574,782-221
7020,1998,72X-205
7506,7576,782-221
7508,7578,782-221
7510,6210,72X-205
7510,7580,782-221
7512,6207,72X-205
7512,7584,782-221
7514,7516,72X-205
7514,7586,782-221
7516,6201,72X-205
7516,7588,782-221
7518,6259,72X-205
7520,7522,72X-205
7522,6287,72X-205
7524,6285,72X-205
6062,6277,72X-205
6798,2388,72X-205
2388,6279,72X-205
6066,6267,72X-205
6068,6463,72X-205
6072,6074,72X-205
6074,6258,72X-205
6064,6075,72X-205
6080,6073,72X-205
6082,6069,72X-205
2103,2439,72X-205
6261,6067,72X-205
6263,6065,72X-205
6262,6063,72X-205
6264,6823,72X-205
6282,6060,72X-205
6280,6284,72X-205
6284,6125,72X-205
2437,7523,72X-205
2435,7521,72X-205
6290,6292,72X-205
6292,7519,72X-205
6250,6252,72X-205
6252,7515,72X-205
6254,6256,72X-205
6256,7511,72X-205
6200,7149,72X-205
6204,7147,72X-205
1936,7145,72X-205
6212,6031,72X-205
6031,7020,72X-205
6067,6263,72X-205
6065,6262,72X-205
6823,6282,72X-205
6060,6280,72X-205
6267,6068,72X-205
6463,6260,72X-205
6260,6072,72X-205
6258,6918,72X-205
6918,6076,72X-205
6075,6080,72X-205
6073,6071,72X-205
6071,6082,72X-205
6069,2103,72X-205
